Order ID,Product ID,Category,Sub-Category,Order Date,Ship Date,Customer ID,Customer Name,Region,Country,Sales,Quantity,Discount,Profit,Shipping Cost,Payment Method,Review Score
ORD001,PROD011,Beauty,Skincare,07-06-2024,10-06-2024,CUST111,Chris Park,Australia,New Zealand,229.78,3,0.19,25.3,23.72,Gift Card,5
ORD002,PROD012,Beauty,Haircare,11-08-2024,16-08-2024,CUST112,Russell Cooper,Europe,Germany,288.76,2,0.19,29.85,15.11,PayPal,5
ORD003,PROD013,Clothing,Jeans,23-01-2025,29-01-2025,CUST113,Katelyn Perkins,Asia,China,361.02,1,0.14,42.07,41.11,Debit Card,1
ORD004,PROD014,Toys,Stuffed Toys,06-02-2025,13-02-2025,CUST114,Shane Howard,Europe,France,226.68,1,0.28,45.57,12.38,PayPal,3
ORD005,PROD015,Electronics,Tablets,30-08-2024,02-09-2024,CUST115,Chelsea Watkins,Europe,Germany,177.6,3,0.12,26.95,32.02,Gift Card,1
ORD006,PROD016,Toys,Action Figures,18-05-2024,25-05-2024,CUST116,Darin Avila,Australia,New Zealand,285.68,1,0.09,33.96,19.82,Gift Card,2
ORD007,PROD017,Toys,Board Games,09-08-2024,18-08-2024,CUST117,Jennifer Ross,Australia,New Zealand,130.93,1,0.05,32.32,13.81,Debit Card,3
ORD008,PROD018,Sports,Sportswear,05-07-2024,10-07-2024,CUST118,Nicole Preston,Asia,India,106.08,3,0.01,20.91,41.96,Debit Card,1
ORD009,PROD019,Sports,Dumbbells,15-05-2024,22-05-2024,CUST119,Angela Hammond,Europe,UK,154.15,1,0.07,45.23,39.93,Debit Card,2
ORD010,PROD020,Books,Fiction,28-08-2024,01-09-2024,CUST120,Jesse Carter,South America,Brazil,79.55,4,0.12,15.45,14.24,Debit Card,4
ORD011,PROD021,Home & Kitchen,Decor,20-01-2025,22-01-2025,CUST121,Kyle Rodriguez,Europe,Germany,185.25,4,0.13,43.85,44.37,Gift Card,1
